label,text
spam,"Subject: CONGRATULATIONS! You Have Won $1,000,000!!! Dear Winner, You have been selected as the lucky winner of our international lottery. Click here immediately to claim your prize money. Act now before the offer expires!"
spam,"Subject: FREE iPhone 15 Pro - Claim Now! You have been chosen to receive a FREE smartphone. This is a limited time offer. Visit our website and enter your details to get your free gift today. Don't miss out!"
spam,"Subject: Urgent: Your Bank Account Has Been Suspended We detected suspicious activity on your account. Click the link below to verify your identity immediately or your account will be permanently closed. https://fake-bank-link.com/verify"
spam,"Subject: Make $5000 Per Week Working From Home! Work from home opportunity! No experience needed. Earn up to $5000 per week just by clicking links. Join millions who are already making money online. Limited spots available!"
spam,"Subject: You Are Pre-Approved For A $50,000 Loan! Dear Customer, Congratulations! You have been pre-approved for a personal loan of $50,000 with no credit check required. Call us now to claim your money!"
spam,"Subject: Win a FREE vacation to Bahamas! Exclusive offer for selected customers! You have won an all-inclusive trip to the Bahamas. Claim your free vacation package now. Offer expires in 24 hours!"
spam,"Subject: URGENT: Your PayPal account needs verification Your PayPal account has been limited. Please verify your information immediately to restore full access. Failure to do so will result in permanent suspension."
spam,"Subject: Hot Singles In Your Area! Lonely? Find love today! Thousands of beautiful singles are waiting to meet you. Sign up FREE today and start chatting. No credit card required. Join now!"
spam,"Subject: Lose 30 pounds in 30 days - GUARANTEED! Revolutionary new weight loss formula! Doctors hate this one weird trick. Lose weight fast without diet or exercise. Order now and get 50% off plus free shipping!"
spam,"Subject: Your Email Has Been Selected For $500 Gift Card As a valued customer your email was randomly selected to receive a $500 gift card. Click here to claim before it expires. Survey takes only 2 minutes!"
spam,"Subject: FINAL WARNING - Account Closure Notice This is your final warning. Your account will be closed in 24 hours unless you verify your information. Click the link immediately to prevent account closure."
spam,"Subject: Earn Money Fast - No Skills Required! Join our revolutionary money-making system. Earn $200-$1000 per day from your smartphone. Zero investment required. Thousands already earning. Register free today!"
spam,"Subject: Exclusive Offer - 90% Discount On All Items! MASSIVE CLEARANCE SALE! Up to 90% off on all branded items. Limited stock available. Order now and get free delivery. This offer is only valid for 48 hours!"
